,Precio mercado SPOT Diario,Demanda programada PBF total,Generación programada PBF Turbinación bombeo,Generación programada PBF Solar térmica,Generación programada PBF Solar fotovoltaica,Generación programada PBF Saldo Portugal,Generación programada PBF Saldo Marruecos,Generación programada PBF Saldo Francia,Generación programada PBF Saldo Andorra,Generación programada PBF Residuos,Generación programada PBF Biogás,Generación programada PBF Biomasa,Generación programada PBF Carbón,Generación programada PBF Ciclo combinado,Generación programada PBF Cogeneración,Generación programada PBF Consumo bombeo,Generación programada PBF Enlace Baleares,Generación programada PBF Eólica,Generación programada PBF Nuclear,Generación programada PBF Hidráulica UGH,Generación programada PBF Hidráulica no UGH,Generación programada PBF Otros,Índice de llenado medio semanal de almacenamiento hidráulico
2020-09-28 05:00:00+00:00,46.77,25010.1,0.0,28.6,15.8,1091.5,0.0,-2500.0,-41.0,362.4,92.3,455.1,0.0,5373.3,3274.3,0.0,-128.0,7664.4,6983.2,1874.3,463.2,0.6999999999970896,8405324.458333334
2020-09-28 06:00:00+00:00,48.55,26414.9,120.0,36.2,528.2,1800.9,0.0,-2500.0,-47.0,339.4,93.1,461.0,0.0,6043.2,3347.2,0.0,-153.0,7045.5,6982.2,1852.7,464.6,0.7000000000007276,8404952.666666666
2020-09-28 07:00:00+00:00,46.55,27523.7,120.0,107.9,2594.2,976.3,0.0,-2500.0,-20.0,338.5,92.5,460.9,0.0,6312.0,3363.4,0.0,-179.0,6655.1,6982.2,1751.6,467.4,0.7000000000007276,8404580.875
2020-09-28 08:00:00+00:00,41.1,28669.4,145.0,1056.3,4628.2,2.4,0.0,-2500.0,-23.0,337.5,86.7,460.6,0.0,5706.3,3321.2,0.0,-204.0,6574.2,6979.2,1674.4,423.7,0.6999999999970896,8404209.083333334
2020-09-28 09:00:00+00:00,40.0,29494.4,128.4,1797.2,5780.7,-430.7,0.0,-2500.0,-24.0,339.4,87.0,460.2,0.0,5441.4,3310.8,0.0,-204.0,6473.5,6978.2,1429.4,426.2,0.7000000000007276,8403837.291666666
2020-09-28 10:00:00+00:00,41.08,30102.6,65.0,1928.2,6491.7,-333.3,0.0,-2500.0,-25.0,338.9,88.9,459.4,0.0,5568.7,3347.6,0.0,-204.0,6248.8,6975.2,1233.0,418.8,0.7000000000007276,8403465.5
2020-09-28 11:00:00+00:00,42.31,30551.2,65.0,1917.0,6730.3,-280.6,0.0,-2500.0,-25.0,339.8,88.7,460.2,0.0,6086.9,3344.3,0.0,-204.0,6013.4,6974.2,1122.1,418.2,0.7000000000007276,8403093.708333334
2020-09-28 12:00:00+00:00,41.08,29796.9,65.0,1902.1,6697.5,-314.9,0.0,-2500.0,-23.0,340.8,89.1,460.7,0.0,5627.5,3340.5,0.0,-204.0,5837.1,6974.2,1085.4,418.2,0.6999999999970896,8402721.916666666
2020-09-28 13:00:00+00:00,40.07,28925.8,65.0,1892.0,6381.6,-718.5,0.0,-2500.0,-54.0,346.5,88.6,459.8,0.0,5486.6,3338.6,0.0,-179.0,5777.2,6973.2,1153.1,414.4,0.6999999999970896,8402350.125
2020-09-28 14:00:00+00:00,41.07,28463.5,65.0,1828.4,5682.2,-527.2,0.0,-2500.0,-54.0,346.9,88.4,460.3,0.0,5508.8,3340.0,0.0,-179.0,5776.2,6971.2,1234.7,420.9,0.6999999999970896,8401978.333333334
2020-09-28 15:00:00+00:00,44.15,28271.9,65.0,1711.4,4535.1,-362.3,0.0,-2500.0,-53.0,346.1,91.6,460.4,0.0,6221.0,3330.6,0.0,-179.0,5730.8,6972.2,1465.7,435.6,0.7000000000007276,8401606.541666666
2020-09-28 16:00:00+00:00,46.55,27679.8,185.0,1512.9,2509.2,577.1,0.0,-2500.0,-53.0,346.9,92.3,460.1,0.0,6455.8,3337.5,0.0,-179.0,5684.5,6972.2,1822.7,454.9,0.6999999999934516,8401234.75
2020-09-28 17:00:00+00:00,52.0,27633.0,443.8,1060.5,585.4,1932.2,0.0,-2500.0,-56.0,349.0,92.2,459.4,0.0,6498.7,3354.2,0.0,-179.0,5580.6,6974.2,2569.1,468.0,0.7000000000007276,8400862.958333334
2020-09-28 18:00:00+00:00,55.82,29111.5,1949.4,586.7,26.2,2376.0,0.0,-2500.0,-59.0,349.3,92.7,459.4,0.0,6509.0,3358.4,0.0,-204.0,5808.1,6974.2,2913.9,470.5,0.6999999999970896,8400491.166666666
2020-09-28 19:00:00+00:00,52.24,29185.8,669.5,482.4,7.9,1720.4,0.0,236.4,-55.0,346.0,92.7,460.5,0.0,6215.4,3372.2,0.0,-204.0,5750.8,6976.2,2644.4,469.3,0.6999999999970896,8400119.375
2020-09-28 20:00:00+00:00,46.16,26330.7,120.0,475.7,7.7,833.4,0.0,84.5,-47.0,345.4,92.7,455.3,0.0,5934.8,3379.6,0.0,-153.0,5834.3,6976.2,1531.8,458.6,0.7000000000007276,8399747.583333334
2020-09-28 21:00:00+00:00,40.01,24125.4,80.0,428.5,7.4,-77.9,0.0,523.5,-39.0,345.5,91.1,455.0,0.0,4967.8,3317.6,0.0,-128.0,5756.9,6977.2,998.3,420.8,0.7000000000043656,8399375.791666666
2020-09-28 22:00:00+00:00,40.43,23476.4,0.0,161.3,6.0,-356.4,0.0,368.6,-33.0,365.7,100.0,455.1,187.0,4321.5,3163.3,0.0,-102.0,5628.6,6990.7,1831.9,384.1,4.0,8399004.0
2020-09-28 23:00:00+00:00,38.87,22485.9,0.0,94.6,6.0,-668.0,0.0,128.8,-30.0,366.7,98.3,454.7,186.0,4248.1,3135.0,0.0,-82.0,5377.1,6991.7,1802.5,372.4,4.0,8398632.208333334
2020-09-29 00:00:00+00:00,36.92,21959.3,0.0,84.2,6.0,-742.1,0.0,412.5,-27.0,366.0,98.5,455.3,120.0,4236.5,3135.3,0.0,-62.0,5031.2,6990.7,1485.3,364.9,4.0,8398260.416666666
2020-09-29 01:00:00+00:00,34.79,21570.3,0.0,76.2,6.0,-730.8,0.0,474.7,-27.0,366.9,98.5,455.2,0.0,4233.8,3135.3,0.0,-62.0,4774.0,6991.7,1410.2,363.6,4.0,8397888.625
2020-09-29 02:00:00+00:00,36.48,21447.3,0.0,51.2,6.0,-542.3,0.0,369.4,-27.0,366.2,97.6,454.5,0.0,4377.5,3135.0,0.0,-62.0,4505.3,6991.7,1360.3,359.9,3.999999999996362,8397516.833333334
2020-09-29 03:00:00+00:00,39.51,21565.0,0.0,51.1,6.0,-427.9,0.0,55.6,-28.0,366.8,97.3,454.1,0.0,4831.4,3143.6,0.0,-62.0,4338.5,6993.7,1381.3,359.5,4.0,8397145.041666666
2020-09-29 04:00:00+00:00,51.07,23340.5,210.0,51.1,6.3,1074.2,0.0,-2500.0,-31.0,365.9,96.6,453.9,0.0,7188.7,3204.2,0.0,-102.0,3823.5,6998.7,2115.1,381.3,4.000000000003638,8396773.25
2020-09-29 05:00:00+00:00,53.76,26276.7,1360.5,51.1,14.6,1997.5,0.0,-2500.0,-41.0,367.0,95.9,453.7,0.0,7945.6,3256.8,0.0,-128.0,3266.1,7000.7,2653.6,478.6,4.000000000003638,8396401.458333334
2020-09-29 06:00:00+00:00,54.5,27636.0,1588.0,51.2,426.2,2049.2,0.0,-2500.0,-49.0,345.5,99.0,459.7,0.0,8789.9,3278.6,0.0,-153.0,3005.5,7000.7,2761.7,478.8,3.999999999996362,8396029.666666666
2020-09-29 07:00:00+00:00,53.25,28629.8,1183.1,123.5,2264.6,1422.6,0.0,-2500.0,-21.0,325.0,99.7,465.9,0.0,9374.2,3263.5,0.0,-179.0,2634.1,6999.7,2679.2,490.7,3.999999999996362,8395657.875
2020-09-29 08:00:00+00:00,51.07,29356.9,250.0,990.5,4298.6,966.7,0.0,-2500.0,-23.0,327.0,99.6,465.6,0.0,9790.3,3258.8,0.0,-204.0,2129.0,6999.7,2022.1,482.0,4.000000000003638,8395286.083333334
2020-09-29 09:00:00+00:00,50.05,30020.1,80.0,1667.1,5598.2,445.7,0.0,-2500.0,-24.0,327.0,99.6,465.2,0.0,9904.1,3292.1,0.0,-204.0,1903.3,6998.7,1486.1,477.0,4.0,8394914.291666666
2020-09-29 10:00:00+00:00,50.47,30811.3,136.6,1861.4,6371.7,400.7,0.0,-2500.0,-25.0,326.8,100.3,464.4,0.0,9882.9,3285.9,0.0,-204.0,1850.2,6994.7,1378.0,482.7,3.999999999992724,8394542.5
2020-09-29 11:00:00+00:00,50.55,31233.2,145.0,1879.4,6630.8,482.9,0.0,-2500.0,-26.0,326.8,100.2,465.3,0.0,9863.6,3290.4,0.0,-204.0,1783.1,6993.7,1517.1,480.9,4.0,8394170.708333334
2020-09-29 12:00:00+00:00,49.98,30464.2,0.0,1817.6,6615.1,294.4,0.0,-2500.0,-24.0,345.9,99.7,465.9,0.0,9851.3,3292.2,0.0,-204.0,1733.6,6993.7,1251.8,427.0,4.000000000003638,8393798.916666666
2020-09-29 13:00:00+00:00,46.51,29717.1,0.0,1744.5,6304.0,186.7,0.0,-2500.0,-55.0,346.1,98.3,465.0,0.0,9787.0,3261.4,0.0,-179.0,1699.7,6991.7,1150.0,412.7,3.999999999992724,8393427.125
2020-09-29 14:00:00+00:00,48.01,29177.9,0.0,1665.9,5628.6,279.8,0.0,-2500.0,-54.0,346.5,97.8,465.3,0.0,9784.6,3263.1,0.0,-179.0,1675.2,6990.7,1246.0,463.4,4.0,8393055.333333334
2020-09-29 15:00:00+00:00,50.55,28989.5,145.0,1585.1,4496.7,637.0,0.0,-2500.0,-53.0,346.7,98.8,465.4,0.0,9846.7,3266.8,0.0,-179.0,1708.0,6990.7,1656.7,473.9,3.999999999996362,8392683.541666666
2020-09-29 16:00:00+00:00,52.05,28440.9,440.0,1367.4,2525.3,1296.8,0.0,-2590.0,-53.0,346.6,97.9,465.1,0.0,9702.3,3298.9,0.0,-179.0,1797.1,6990.7,2457.0,473.8,4.000000000003638,8392311.75
2020-09-29 17:00:00+00:00,55.29,28362.2,1798.9,919.8,586.6,1642.5,0.0,-2590.0,-56.0,346.6,98.3,463.8,0.0,9037.9,3305.3,0.0,-204.0,2124.9,6992.7,3399.1,491.8,4.0,8391939.958333334
2020-09-29 18:00:00+00:00,61.14,28945.9,2176.7,587.4,19.6,2385.0,0.0,-2590.0,-59.0,335.2,98.8,457.9,0.0,8576.3,3342.7,0.0,-235.0,2137.1,6994.7,4211.3,503.2,4.000000000003638,8391568.166666666
2020-09-29 19:00:00+00:00,57.5,29746.2,2136.7,532.8,6.2,1920.2,0.0,-165.9,-55.0,335.5,98.6,458.9,0.0,7995.8,3310.5,0.0,-204.0,2084.8,6994.7,3804.1,488.3,4.000000000003638,8391196.375
2020-09-29 20:00:00+00:00,51.57,27221.1,250.0,499.3,6.3,1169.1,0.0,1692.2,-47.0,334.9,92.5,453.8,0.0,7877.3,3292.9,0.0,-153.0,1887.6,6996.7,2382.3,482.2,4.0,8390824.583333334
2020-09-29 21:00:00+00:00,46.05,24854.6,80.0,394.1,6.0,514.4,0.0,2513.1,-39.0,334.9,90.4,453.5,0.0,7077.3,3238.1,0.0,-128.0,1698.0,6998.7,1162.1,457.0,4.0,8390452.791666666
2020-09-29 22:00:00+00:00,50.07,23677.4,160.0,127.9,6.0,354.1,0.0,2200.0,-33.0,364.4,96.1,449.6,187.0,4447.6,3170.5,0.0,-102.0,2747.8,6996.5,2041.4,459.5,4.0,8390081.0
2020-09-29 23:00:00+00:00,50.05,22623.0,80.0,121.9,6.0,-107.5,0.0,2200.0,-29.0,366.4,94.7,449.2,186.0,4261.4,3191.0,0.0,-82.0,2550.2,6998.5,1924.0,408.2,4.0,8389709.208333334
2020-09-30 00:00:00+00:00,50.81,21884.8,80.0,109.0,6.0,52.4,0.0,2200.0,-27.0,365.5,94.8,449.9,120.0,4114.2,3192.9,0.0,-62.0,2414.2,6998.5,1366.2,406.2,3.999999999996362,8389337.416666666
2020-09-30 01:00:00+00:00,50.07,21423.6,80.0,84.0,6.0,63.8,0.0,2200.0,-27.0,366.6,94.9,444.9,0.0,4087.6,3191.5,0.0,-62.0,2289.5,6998.5,1195.5,405.8,4.0,8388965.625
2020-09-30 02:00:00+00:00,49.52,21379.2,0.0,78.0,6.0,205.3,0.0,2200.0,-26.0,364.8,93.7,449.2,0.0,4084.4,3191.4,0.0,-62.0,2252.2,6997.5,1130.1,410.6,4.000000000003638,8388593.833333333
2020-09-30 03:00:00+00:00,46.51,21861.6,0.0,66.0,6.0,603.6,0.0,2200.0,-27.0,363.5,93.7,450.3,0.0,4209.6,3153.2,0.0,-62.0,2313.3,7002.5,1085.4,399.5,3.999999999996362,8388222.041666667
2020-09-30 04:00:00+00:00,50.99,23684.8,210.0,66.0,39.6,1779.8,0.0,-780.7,-31.0,362.9,84.2,450.2,0.0,6600.4,3178.7,0.0,-102.0,2145.5,7003.5,2231.4,442.3,4.0,8387850.25
2020-09-30 05:00:00+00:00,55.0,26377.3,1874.9,72.0,116.9,2896.6,0.0,-2500.0,-40.0,363.8,84.5,450.1,0.0,7223.2,3227.3,0.0,-128.0,1901.2,7006.3,3331.8,492.7,4.0,8387478.458333333
2020-09-30 06:00:00+00:00,57.01,27622.6,2216.7,60.9,470.8,3000.0,0.0,-2500.0,-48.0,343.8,92.6,456.0,0.0,7347.0,3312.9,0.0,-179.0,1832.5,7006.3,3711.5,494.6,4.000000000003638,8387106.666666667
2020-09-30 07:00:00+00:00,55.34,28691.5,2068.0,88.9,2222.5,2487.9,0.0,-2500.0,-51.0,344.5,92.8,462.2,0.0,7704.9,3307.6,0.0,-179.0,1766.1,7006.3,3363.6,502.2,4.000000000003638,8386734.875
2020-09-30 08:00:00+00:00,53.76,29607.5,1427.1,536.6,4110.7,2025.7,0.0,-2500.0,-54.0,344.5,94.7,461.9,0.0,7823.8,3305.8,0.0,-204.0,1640.3,7002.5,3089.4,498.5,4.0,8386363.083333333
2020-09-30 09:00:00+00:00,52.24,30191.9,733.0,1022.7,5229.5,1381.5,0.0,-2500.0,-55.0,344.6,94.7,461.5,0.0,7920.4,3306.1,0.0,-204.0,1723.9,7001.5,3232.4,495.1,4.0,8385991.291666667
2020-09-30 10:00:00+00:00,49.17,30927.6,120.0,1193.3,5742.1,463.7,0.0,-47.3,-57.0,342.9,92.4,460.8,0.0,7899.4,3337.4,0.0,-204.0,1975.9,6999.5,2108.8,495.7,3.999999999996362,8385619.5
2020-09-30 11:00:00+00:00,47.4,31355.2,120.0,1241.7,5928.4,585.9,0.0,122.1,-56.0,343.0,86.7,461.6,0.0,7777.2,3317.2,0.0,-204.0,2466.6,6998.5,1672.1,490.2,4.000000000003638,8385247.708333333
2020-09-30 12:00:00+00:00,45.04,30457.7,0.0,1249.4,5878.3,655.9,0.0,-896.3,-54.0,343.3,87.4,462.1,0.0,7772.4,3314.0,0.0,-204.0,3177.5,6997.5,1190.4,479.8,4.0,8384875.916666667
2020-09-30 13:00:00+00:00,45.0,29531.9,0.0,1235.5,5713.1,822.1,0.0,-2500.0,-53.0,343.5,95.4,461.1,0.0,7773.1,3326.7,0.0,-179.0,3927.6,6993.5,1097.0,471.3,4.000000000003638,8384504.125
2020-09-30 14:00:00+00:00,43.99,29165.2,0.0,1242.7,4950.2,1109.4,0.0,-2500.0,-52.0,344.0,92.2,461.6,0.0,7325.4,3331.9,0.0,-179.0,4480.7,6992.5,1093.0,468.6,4.000000000003638,8384132.333333333
2020-09-30 15:00:00+00:00,44.43,28951.8,0.0,1232.1,3946.1,1292.8,0.0,-2500.0,-51.0,344.1,93.4,461.7,0.0,7530.9,3343.8,0.0,-179.0,4880.8,6992.5,1090.9,468.7,4.0,8383760.541666667
2020-09-30 16:00:00+00:00,45.07,28474.6,120.0,1071.9,2187.7,1561.1,0.0,-2500.0,-52.0,344.0,90.4,461.3,0.0,7793.6,3364.2,0.0,-179.0,5115.9,6993.5,1622.4,475.6,4.0,8383388.75
2020-09-30 17:00:00+00:00,51.05,28327.3,290.0,766.6,499.7,1619.1,0.0,-2500.0,-54.0,345.2,90.5,460.7,0.0,8026.7,3374.2,0.0,-204.0,5281.5,6994.5,2850.3,482.3,4.0,8383016.958333333
2020-09-30 18:00:00+00:00,55.34,30572.4,2046.3,482.3,25.9,2218.6,0.0,-2025.2,-57.0,345.9,90.6,457.9,0.0,7428.3,3367.8,0.0,-235.0,5429.7,6998.5,3497.7,496.1,4.0,8382645.166666667
2020-09-30 19:00:00+00:00,50.02,30024.2,160.0,368.2,7.1,976.6,0.0,1140.9,-54.0,345.1,90.8,459.1,0.0,7404.7,3368.2,0.0,-204.0,5811.5,6998.5,2650.3,497.2,4.0,8382273.375
2020-09-30 20:00:00+00:00,44.11,27195.9,80.0,286.4,6.0,1408.7,0.0,111.5,-46.0,343.3,99.6,453.6,0.0,6761.8,3359.2,0.0,-153.0,5751.7,7000.5,1250.8,477.8,4.000000000003638,8381901.583333333
2020-09-30 21:00:00+00:00,37.53,25030.6,0.0,264.3,6.0,868.1,0.0,-170.3,-39.0,343.3,88.8,453.3,0.0,6030.2,3305.4,0.0,-128.0,5667.4,7000.5,927.2,409.4,3.999999999996362,8381529.791666667
2020-09-30 22:00:00+00:00,38.7,23970.9,0.0,97.9,6.0,1620.7,0.0,144.9,-32.0,326.3,88.9,453.7,187.0,2629.8,3082.1,0.0,-102.0,7245.2,6811.0,1037.7,369.7,4.0,8381158.0
2020-09-30 23:00:00+00:00,34.07,23002.9,0.0,90.4,6.0,1421.8,0.0,285.4,-29.0,326.0,86.2,453.6,186.0,2288.8,3044.6,0.0,-82.0,7215.3,6771.0,580.7,354.1,4.000000000003638,8380786.208333333
2020-10-01 00:00:00+00:00,31.18,22317.5,0.0,27.5,6.0,1249.0,0.0,124.8,-26.0,323.1,85.8,453.2,120.0,2213.2,3044.0,0.0,-82.0,7125.3,6732.0,565.4,352.2,3.999999999996362,8380414.416666667
2020-10-01 01:00:00+00:00,29.75,21947.6,0.0,13.6,6.0,813.0,0.0,1020.4,-26.0,325.5,83.0,448.2,0.0,2157.2,3012.2,-468.0,-82.0,7078.7,6732.0,484.3,345.5,4.0,8380042.625
2020-10-01 02:00:00+00:00,30.82,21888.4,0.0,13.6,6.0,1281.8,0.0,1.9,-26.0,324.6,86.1,453.0,0.0,2236.8,3015.1,0.0,-82.0,6976.0,6731.0,514.4,352.1,4.0,8379670.833333333
2020-10-01 03:00:00+00:00,34.04,22234.7,0.0,16.1,6.0,1478.4,0.0,116.3,-27.0,325.8,87.8,454.2,0.0,2253.8,3050.4,0.0,-82.0,6857.9,6732.0,601.8,359.2,4.000000000003638,8379299.041666667
2020-10-01 04:00:00+00:00,43.53,23759.9,19.0,18.6,6.0,2433.4,0.0,-631.9,-30.0,325.8,86.0,454.1,0.0,3591.9,3121.9,0.0,-102.0,6333.0,6735.0,1011.5,383.6,4.000000000003638,8378927.25
2020-10-01 05:00:00+00:00,52.35,26495.9,749.0,3.5,13.9,3375.0,0.0,-2361.2,-39.0,301.8,86.3,454.2,0.0,4829.4,3190.1,0.0,-128.0,5699.0,6737.0,3150.6,430.3,4.000000000003638,8378555.458333333
2020-10-01 06:00:00+00:00,54.83,27412.4,1500.5,12.0,436.9,3375.0,0.0,-2867.0,-29.0,281.5,88.3,459.8,0.0,4918.7,3257.9,0.0,-153.0,5404.1,6738.0,3499.7,485.0,4.0,8378183.666666667
2020-10-01 07:00:00+00:00,54.0,28405.4,1320.9,55.5,2345.9,2970.0,0.0,-2701.5,-32.0,283.3,88.6,466.0,0.0,4910.7,3240.9,0.0,-179.0,5137.3,6737.0,3263.1,494.7,4.0,8377811.875
2020-10-01 08:00:00+00:00,51.73,28948.9,362.0,674.8,4363.2,2428.1,0.0,-2867.0,-35.0,282.3,87.8,465.8,0.0,4906.4,3223.4,0.0,-204.0,5036.3,6737.0,3050.8,433.0,4.0,8377440.083333333
2020-10-01 09:00:00+00:00,48.99,29484.0,32.0,1328.0,5577.9,1804.7,0.0,-2867.0,-36.0,282.4,89.5,465.6,0.0,4831.3,3218.8,0.0,-204.0,5555.8,6736.0,2224.2,440.8,4.0,8377068.291666667
2020-10-01 10:00:00+00:00,45.65,30720.5,32.0,1505.6,6077.3,1139.8,0.0,-1816.9,-37.0,283.8,90.5,464.7,0.0,4808.5,3221.6,0.0,-204.0,6232.6,6733.0,1753.6,431.4,4.0,8376696.5
2020-10-01 11:00:00+00:00,44.36,30775.5,32.0,1444.6,6263.4,1264.7,0.0,-1533.0,-38.0,284.8,90.2,465.6,0.0,4300.7,3234.7,0.0,-204.0,7117.0,6730.0,886.1,432.7,4.0,8376324.708333333
2020-10-01 12:00:00+00:00,41.93,30045.1,0.0,1351.3,6164.1,1310.2,0.0,-1855.6,-36.0,285.0,90.9,465.5,0.0,3221.0,3229.0,0.0,-204.0,8208.3,6731.0,655.0,425.4,4.0,8375952.916666667
2020-10-01 13:00:00+00:00,38.33,29155.8,0.0,1297.7,5834.5,947.5,0.0,-2484.5,-53.0,284.3,89.0,465.8,0.0,2725.0,3217.8,0.0,-179.0,9288.4,6728.0,570.1,420.2,4.0,8375581.125
2020-10-01 14:00:00+00:00,36.2,28871.4,0.0,1261.0,5219.6,757.0,0.0,-2636.0,-53.0,284.7,89.0,466.0,0.0,2507.5,3226.6,0.0,-179.0,10222.8,6728.0,560.2,413.0,4.000000000003638,8375209.333333333
2020-10-01 15:00:00+00:00,37.95,28650.2,0.0,1152.2,4139.8,1126.3,0.0,-2497.0,-52.0,283.8,90.0,465.9,0.0,2553.1,3232.6,0.0,-179.0,10622.2,6727.0,564.6,416.7,4.0,8374837.541666667
2020-10-01 16:00:00+00:00,40.0,28248.1,32.0,1001.3,2342.9,1978.0,0.0,-2497.0,-52.0,283.7,92.6,465.5,0.0,2565.0,3334.1,0.0,-179.0,10861.3,6728.0,868.1,419.6,4.0,8374465.75
2020-10-01 17:00:00+00:00,40.07,28320.7,112.0,675.8,487.1,2634.2,0.0,-2497.0,-53.0,282.7,91.9,464.9,0.0,2617.9,3304.2,0.0,-204.0,11150.4,6728.0,2086.0,435.6,4.000000000003638,8374093.958333333
2020-10-01 18:00:00+00:00,50.81,29834.7,146.0,299.1,55.6,3420.0,0.0,-2497.0,-56.0,287.4,92.3,458.5,0.0,3177.9,3349.9,0.0,-235.0,11362.8,6728.0,2744.3,496.9,4.0,8373722.166666667
2020-10-01 19:00:00+00:00,46.08,29297.5,151.0,219.5,8.6,2486.9,0.0,-1971.0,-53.0,288.6,93.6,459.6,0.0,3120.3,3347.7,0.0,-204.0,11972.7,6730.0,2144.0,499.0,4.0,8373350.375
2020-10-01 20:00:00+00:00,40.07,26755.2,0.0,179.5,6.0,2146.6,0.0,-2497.0,-45.0,288.9,93.6,454.6,0.0,2332.0,3341.9,0.0,-153.0,12500.0,6732.0,965.8,405.3,4.000000000003638,8372978.583333333
2020-10-01 21:00:00+00:00,30.0,25055.5,0.0,119.4,6.0,1352.4,0.0,-2497.0,-38.0,286.2,89.1,454.6,0.0,1714.0,3243.5,-169.8,-128.0,12924.9,6733.0,573.0,388.2,4.0,8372606.791666667
