Rank	Country	Capital	Continent	2022_Population	Area
23	France	Paris	Europe	64626628	551695
184	French Guiana	Cayenne	South America	304557	83534
183	French Polynesia	Papeete	Oceania	306279	4167
146	Gabon	Libreville	Africa	2388992	267668
142	Gambia	Banjul	Africa	2705992	10689
131	Georgia	Tbilisi	Asia	3744385	69700
19	Germany	Berlin	Europe	83369843	357114
47	Ghana	Accra	Africa	33475870	238533
219	Gibraltar	Gibraltar	Europe	32649	6
90	Greece	Athens	Europe	10384971	131990
208	Greenland	Nuuk	North America	56466	2166086
193	Grenada	Saint George's	North America	125438	344
178	Guadeloupe	Basse-Terre	North America	395752	1628
191	Guam	Hagåtña	Oceania	171774	549
68	Guatemala	Guatemala City	North America	17843908	108889
207	Guernsey	Saint Peter Port	Europe	63301	78
75	Guinea	Conakry	Africa	13859341	245857
149	Guinea-Bissau	Bissau	Africa	2105566	36125
164	Guyana	Georgetown	South America	808726	214969
82	Haiti	Port-au-Prince	North America	11584996	27750
89	Honduras	Tegucigalpa	North America	10432860	112492
104	Hong Kong	Hong Kong	Asia	7488865	1104
94	Hungary	Budapest	Europe	9967308	93028
179	Iceland	Reykjavík	Europe	372899	103000
2	India	New Delhi	Asia	1417173173	3287590
4	Indonesia	Jakarta	Asia	275501339	1904569
17	Iran	Tehran	Asia	88550570	1648195
35	Iraq	Baghdad	Asia	44496122	438317
125	Ireland	Dublin	Europe	5023109	70273
202	Isle of Man	Douglas	Europe	84519	572
98	Israel	Jerusalem	Asia	9038309	20770
25	Italy	Rome	Europe	59037474	301336
52	Ivory Coast	Yamoussoukro	Africa	28160542	322463
139	Jamaica	Kingston	North America	2827377	10991
11	Japan	Tokyo	Asia	123951692	377930
195	Jersey	Saint Helier	Europe	110778	116
83	Jordan	Amman	Asia	11285869	89342
66	Kazakhstan	Nursultan	Asia	19397998	2724900
27	Kenya	Nairobi	Africa	54027487	580367
192	Kiribati	Tarawa	Oceania	131232	811
129	Kuwait	Kuwait City	Asia	4268873	17818
110	Kyrgyzstan	Bishkek	Asia	6630623	199951
103	Laos	Vientiane	Asia	7529475	236800
151	Latvia	Riga	Europe	1850651	64559
119	Lebanon	Beirut	Asia	5489739	10452
147	Lesotho	Maseru	Africa	2305825	30355
121	Liberia	Monrovia	Africa	5302681	111369
107	Libya	Tripoli	Africa	6812341	1759540
216	Liechtenstein	Vaduz	Europe	39327	160
141	Lithuania	Vilnius	Europe	2750055	65300
168	Luxembourg	Luxembourg	Europe	647599	2586
167	Macau	Concelho de Macau	Asia	695168	30
50	Madagascar	Antananarivo	Africa	29611714	587041
62	Malawi	Lilongwe	Africa	20405317	118484
45	Malaysia	Kuala Lumpur	Asia	33938221	330803
174	Maldives	Malé	Asia	523787	300
59	Mali	Bamako	Africa	22593590	1240192
173	Malta	Valletta	Europe	533286	316
215	Marshall Islands	Majuro	Oceania	41569	181
180	Martinique	Fort-de-France	North America	367507	1128
126	Mauritania	Nouakchott	Africa	4736139	1030700
157	Mauritius	Port Louis	Africa	1299469	2040
182	Mayotte	Mamoudzou	Africa	326101	374
10	Mexico	Mexico City	North America	127504125	1964375
194	Micronesia	Palikir	Oceania	114164	702
135	Moldova	Chisinau	Europe	3272996	33846
217	Monaco	Monaco	Europe	36469	2
134	Mongolia	Ulaanbaatar	Asia	3398366	1564110
169	Montenegro	Podgorica	Europe	627082	13812
230	Montserrat	Brades	North America	4390	102
40	Morocco	Rabat	Africa	37457971	446550
48	Mozambique	Maputo	Africa	32969517	801590
26	Myanmar	Nay Pyi Taw	Asia	54179306	676578
145	Namibia	Windhoek	Africa	2567012	825615
225	Nauru	Yaren	Oceania	12668	21
49	Nepal	Kathmandu	Asia	30547580	147181
71	Netherlands	Amsterdam	Europe	17564014	41850
185	New Caledonia	Nouméa	Oceania	289950	18575
123	New Zealand	Wellington	Oceania	5185288	270467
106	Nicaragua	Managua	North America	6948392	130373
54	Niger	Niamey	Africa	26207977	1267000
6	Nigeria	Abuja	Africa	218541212	923768
232	Niue	Alofi	Oceania	1934	260
56	North Korea	Pyongyang	Asia	26069416	120538
150	North Macedonia	Skopje	Europe	2093599	25713
210	Northern Mariana Islands	Saipan	Oceania	49551	464
120	Norway	Oslo	Europe	5434319	323802
127	Oman	Muscat	Asia	4576298	309500
5	Pakistan	Islamabad	Asia	235824862	881912
222	Palau	Ngerulmud	Oceania	18055	459
122	Palestine	Ramallah	Asia	5250072	6220
128	Panama	Panama City	North America	4408581	75417
93	Papua New Guinea	Port Moresby	Oceania	10142619	462840
109	Paraguay	Asunción	South America	6780744	406752
44	Peru	Lima	South America	34049588	1285216
13	Philippines	Manila	Asia	115559009	342353
37	Poland	Warsaw	Europe	39857145	312679
92	Portugal	Lisbon	Europe	10270865	92090
136	Puerto Rico	San Juan	North America	3252407	8870
143	Qatar	Doha	Asia	2695122	11586
114	Republic of the Congo	Brazzaville	Africa	5970424	342000
161	Reunion	Saint-Denis	Africa	974052	2511
64	Romania	Bucharest	Europe	19659267	238391
9	Russia	Moscow	Europe	144713314	17098242
76	Rwanda	Kigali	Africa	13776698	26338
228	Saint Barthelemy	Gustavia	North America	10967	21
211	Saint Kitts and Nevis	Basseterre	North America	47657	261
190	Saint Lucia	Castries	North America	179857	616
220	Saint Martin	Marigot	North America	31791	53
229	Saint Pierre and Miquelon	Saint-Pierre	North America	5862	242
199	Saint Vincent and the Grenadines	Kingstown	North America	103948	389
188	Samoa	Apia	Oceania	222382	2842
218	San Marino	San Marino	Europe	33660	61
187	Sao Tome and Principe	São Tomé	Africa	227380	964
41	Saudi Arabia	Riyadh	Asia	36408820	2149690
72	Senegal	Dakar	Africa	17316449	196722
105	Serbia	Belgrade	Europe	7221365	88361
196	Seychelles	Victoria	Africa	107118	452
102	Sierra Leone	Freetown	Africa	8605718	71740
113	Singapore	Singapore	Asia	5975689	710
214	Sint Maarten	Philipsburg	North America	44175	34
116	Slovakia	Bratislava	Europe	5643453	49037
148	Slovenia	Ljubljana	Europe	2119844	20273
166	Solomon Islands	Honiara	Oceania	724273	28896
70	Somalia	Mogadishu	Africa	17597511	637657
24	South Africa	Pretoria	Africa	59893885	1221037
29	South Korea	Seoul	Asia	51815810	100210
86	South Sudan	Juba	Africa	10913164	619745
30	Spain	Madrid	Europe	47558630	505992
61	Sri Lanka	Colombo	Asia	21832143	65610
32	Sudan	Khartoum	Africa	46874204	1886068
170	Suriname	Paramaribo	South America	618040	163820
87	Sweden	Stockholm	Europe	10549347	450295
101	Switzerland	Bern	Europe	8740472	41284
60	Syria	Damascus	Asia	22125249	185180
57	Taiwan	Taipei	Asia	23893394	36193
95	Tajikistan	Dushanbe	Asia	9952787	143100
22	Tanzania	Dodoma	Africa	65497748	945087
20	Thailand	Bangkok	Asia	71697030	513120
155	Timor-Leste	Dili	Asia	1341296	14874
100	Togo	Lomé	Africa	8848699	56785
233	Tokelau	Nukunonu	Oceania	1871	12
197	Tonga	Nuku‘alofa	Oceania	106858	747
153	Trinidad and Tobago	Port-of-Spain	North America	1531044	5130
79	Tunisia	Tunis	Africa	12356117	163610
18	Turkey	Ankara	Asia	85341241	783562
111	Turkmenistan	Ashgabat	Asia	6430770	488100
212	Turks and Caicos Islands	Cockburn Town	North America	45703	948
227	Tuvalu	Funafuti	Oceania	11312	26
31	Uganda	Kampala	Africa	47249585	241550
38	Ukraine	Kiev	Europe	39701739	603500
97	United Arab Emirates	Abu Dhabi	Asia	9441129	83600
21	United Kingdom	London	Europe	67508936	242900
3	United States	"Washington, D.C."	North America	338289857	9372610
200	United States Virgin Islands	Charlotte Amalie	North America	99465	347
133	Uruguay	Montevideo	South America	3422794	181034
43	Uzbekistan	Tashkent	Asia	34627652	447400
181	Vanuatu	Port-Vila	Oceania	326740	12189
234	Vatican City	Vatican City	Europe	510	1
51	Venezuela	Caracas	South America	28301696	916445
16	Vietnam	Hanoi	Asia	98186856	331212
226	Wallis and Futuna	Mata-Utu	Oceania	11572	142
172	Western Sahara	El Aaiún	Africa	575986	266000
46	Yemen	Sanaa	Asia	33696614	527968
63	Zambia	Lusaka	Africa	20017675	752612
74	Zimbabwe	Harare	Africa	16320537	390757
